deviation_factor,midpoint
1.0,"(41, 20)"
1.0,"(41, 21)"
1.0,"(41, 22)"
1.0,"(41, 23)"
1.0,"(41, 24)"
1.0,"(41, 25)"
1.0,"(41, 26)"
1.0,"(41, 27)"
1.0,"(41, 28)"
1.0,"(41, 29)"
1.0,"(41, 30)"
1.0,"(41, 31)"
1.0,"(41, 32)"
1.0,"(41, 33)"
1.0,"(41, 34)"
1.0,"(41, 35)"
1.0,"(41, 36)"
1.0,"(41, 37)"
1.0,"(41, 38)"
1.0,"(41, 39)"
1.0,"(41, 40)"
1.0,"(41, 41)"
1.0,"(41, 42)"
1.0,"(41, 43)"
1.0,"(41, 44)"
1.0,"(41, 45)"
1.0,"(41, 46)"
1.0,"(41, 47)"
1.0,"(41, 48)"
1.0,"(41, 49)"
1.0,"(41, 70)"
1.0,"(41, 71)"
1.0,"(41, 72)"
1.0,"(41, 73)"
1.0,"(41, 74)"
1.0,"(41, 75)"
1.0,"(41, 76)"
1.0,"(41, 77)"
1.0,"(41, 78)"
1.0,"(41, 79)"
1.0,"(41, 80)"
1.0,"(41, 81)"
1.0,"(41, 82)"
1.0,"(41, 83)"
1.0,"(41, 84)"
1.0,"(41, 85)"
1.0,"(41, 86)"
1.0,"(41, 87)"
1.0,"(41, 88)"
1.0,"(41, 89)"
1.0,"(41, 90)"
1.0,"(42, 20)"
1.0,"(42, 21)"
1.0,"(42, 22)"
1.0,"(42, 23)"
1.0,"(42, 24)"
1.0,"(42, 25)"
1.0,"(42, 26)"
1.0,"(42, 27)"
1.0,"(42, 28)"
1.0,"(42, 29)"
1.0,"(42, 30)"
1.0,"(42, 31)"
1.0,"(42, 32)"
1.0,"(42, 33)"
1.0,"(42, 34)"
1.0,"(42, 35)"
1.0,"(42, 36)"
1.0,"(42, 37)"
1.0,"(42, 38)"
1.0,"(42, 39)"
1.0,"(42, 40)"
1.0,"(42, 41)"
1.0,"(42, 42)"
1.0,"(42, 43)"
1.0,"(42, 44)"
1.0,"(42, 45)"
1.0,"(42, 46)"
1.0,"(42, 47)"
1.0,"(42, 48)"
1.0,"(42, 49)"
1.0,"(42, 70)"
1.0,"(42, 71)"
1.0,"(42, 72)"
1.0,"(42, 73)"
1.0,"(42, 74)"
1.0,"(42, 75)"
1.0,"(42, 76)"
1.0,"(42, 77)"
1.0,"(42, 78)"
1.0,"(42, 79)"
1.0,"(42, 80)"
1.0,"(42, 81)"
1.0,"(42, 82)"
1.0,"(42, 83)"
1.0,"(42, 84)"
1.0,"(42, 85)"
1.0,"(42, 86)"
1.0,"(42, 87)"
1.0,"(42, 88)"
1.0,"(42, 89)"
1.0,"(42, 90)"
1.0,"(43, 20)"
1.0,"(43, 21)"
1.0,"(43, 22)"
1.0,"(43, 23)"
1.0,"(43, 24)"
1.0,"(43, 25)"
1.0,"(43, 26)"
1.0,"(43, 27)"
1.0,"(43, 28)"
1.0,"(43, 29)"
1.0,"(43, 30)"
1.0,"(43, 31)"
1.0,"(43, 32)"
1.0,"(43, 33)"
1.0,"(43, 34)"
1.0,"(43, 35)"
1.0,"(43, 36)"
1.0,"(43, 37)"
1.0,"(43, 38)"
1.0,"(43, 39)"
1.0,"(43, 40)"
1.0,"(43, 41)"
1.0,"(43, 42)"
1.0,"(43, 43)"
1.0,"(43, 44)"
1.0,"(43, 45)"
1.0,"(43, 46)"
1.0,"(43, 47)"
1.0,"(43, 48)"
1.0,"(43, 49)"
1.0,"(43, 70)"
1.0,"(43, 71)"
1.0,"(43, 72)"
1.0,"(43, 73)"
1.0,"(43, 74)"
1.0,"(43, 75)"
1.0,"(43, 76)"
1.0,"(43, 77)"
1.0,"(43, 78)"
1.0,"(43, 79)"
1.0,"(43, 80)"
1.0,"(43, 81)"
1.0,"(43, 82)"
1.0,"(43, 83)"
1.0,"(43, 84)"
1.0,"(43, 85)"
1.0,"(43, 86)"
1.0,"(43, 87)"
1.0,"(43, 88)"
1.0,"(43, 89)"
1.0,"(43, 90)"
1.0,"(44, 20)"
1.0,"(44, 21)"
1.0,"(44, 22)"
1.0,"(44, 23)"
1.0,"(44, 24)"
1.0,"(44, 25)"
1.0,"(44, 26)"
1.0,"(44, 27)"
1.0,"(44, 28)"
1.0,"(44, 29)"
1.0,"(44, 30)"
1.0,"(44, 31)"
1.0,"(44, 32)"
1.0,"(44, 33)"
1.0,"(44, 34)"
1.0,"(44, 35)"
1.0,"(44, 36)"
1.0,"(44, 37)"
1.0,"(44, 38)"
1.0,"(44, 39)"
1.0,"(44, 40)"
1.0,"(44, 41)"
1.0,"(44, 42)"
1.0,"(44, 43)"
1.0,"(44, 44)"
1.0,"(44, 45)"
1.0,"(44, 46)"
1.0,"(44, 47)"
1.0,"(44, 48)"
1.0,"(44, 49)"
1.0,"(44, 70)"
1.0,"(44, 71)"
1.0,"(44, 72)"
1.0,"(44, 73)"
1.0,"(44, 74)"
1.0,"(44, 75)"
1.0,"(44, 76)"
1.0,"(44, 77)"
1.0,"(44, 78)"
1.0,"(44, 79)"
1.0,"(44, 80)"
1.0,"(44, 81)"
1.0,"(44, 82)"
1.0,"(44, 83)"
1.0,"(44, 84)"
1.0,"(44, 85)"
1.0,"(44, 86)"
1.0,"(44, 87)"
1.0,"(44, 88)"
1.0,"(44, 89)"
1.0,"(44, 90)"
1.0,"(45, 20)"
1.0,"(45, 21)"
1.0,"(45, 22)"
1.0,"(45, 23)"
1.0,"(45, 24)"
1.0,"(45, 25)"
1.0,"(45, 26)"
1.0,"(45, 27)"
1.0,"(45, 28)"
1.0,"(45, 29)"
1.0,"(45, 30)"
1.0,"(45, 31)"
1.0,"(45, 32)"
1.0,"(45, 33)"
1.0,"(45, 34)"
1.0,"(45, 35)"
1.0,"(45, 36)"
1.0,"(45, 37)"
1.0,"(45, 38)"
1.0,"(45, 39)"
1.0,"(45, 40)"
1.0,"(45, 41)"
1.0,"(45, 42)"
1.0,"(45, 43)"
1.0,"(45, 44)"
1.0,"(45, 45)"
1.0,"(45, 46)"
1.0,"(45, 47)"
1.0,"(45, 48)"
1.0,"(45, 49)"
1.0,"(45, 50)"
1.0,"(45, 51)"
1.0,"(45, 52)"
1.0,"(45, 53)"
1.0,"(45, 54)"
1.0,"(45, 55)"
1.0,"(45, 56)"
1.0,"(45, 57)"
1.0,"(45, 58)"
1.0,"(45, 59)"
1.0,"(45, 60)"
1.0,"(45, 61)"
1.0,"(45, 62)"
1.0,"(45, 63)"
1.0,"(45, 64)"
1.0,"(45, 65)"
1.0,"(45, 66)"
1.0,"(45, 67)"
1.0,"(45, 68)"
1.0,"(45, 69)"
1.0,"(45, 70)"
1.0,"(45, 71)"
1.0,"(45, 72)"
1.0,"(45, 73)"
1.0,"(45, 74)"
