warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71,time=72,time=73,time=74,time=75,time=76,time=77,time=78,time=79,time=80,time=81,time=82,time=83,time=84,time=85
3,9,24,"(39, 9)","(38, 9)","(38, 8)","(38, 7)","(38, 6)","(37, 6)","(36, 6)","(36, 5)","(36, 4)","(36, 3)","(36, 2)","(36, 1)","(36, 0)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(28, 5)","(28, 6)","(28, 7)","(28, 8)","(28, 9)","(27, 9)","(26, 9)","(26, 8)","(26, 7)","(26, 6)","(26, 5)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(24, 10)","(24, 11)","(23, 11)","(22, 11)","(22, 12)","(22, 13)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(18, 15)","(17, 15)","(17, 16)","(17, 17)","(17, 18)","(16, 18)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(13, 20)","(13, 21)","(12, 21)","(12, 22)","(11, 22)","(10, 22)","(10, 23)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(38, 10)","(37, 10)","(36, 10)","(36, 11)","(35, 11)","(35, 10)","(35, 9)","(35, 8)","(35, 7)","(35, 6)","(35, 5)","(35, 4)","(34, 4)","(33, 4)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(29, 5)","(29, 6)","(29, 7)","(28, 7)","(28, 6)","(28, 5)","(27, 5)","(26, 5)","(26, 6)","(26, 7)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(23, 10)","(23, 11)","(23, 12)","(23, 13)","(23, 14)","(22, 14)","(22, 13)","(22, 12)","(22, 11)","(22, 10)","(21, 10)","(21, 11)","(21, 12)","(21, 13)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(13, 21)","(12, 21)","(12, 22)","(12, 23)","(11, 23)","(10, 23)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(37, 9)","(36, 9)","(36, 8)","(36, 7)","(36, 6)","(36, 5)","(36, 4)","(36, 3)","(36, 2)","(36, 1)","(35, 1)","(34, 1)","(33, 1)","(32, 1)","(31, 1)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(28, 5)","(27, 5)","(26, 5)","(25, 5)","(25, 4)","(24, 4)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(15, 4)","(14, 4)","(14, 3)","(14, 2)","(14, 1)","(14, 0)","(13, 0)","(12, 0)","(11, 0)","(11, 1)","(10, 1)","(10, 2)","(10, 3)","(10, 4)","(9, 4)","(9, 5)","(9, 6)","(9, 7)","(8, 7)","(7, 7)","(6, 7)","(6, 8)","(5, 8)","(4, 8)","(3, 8)","(2, 8)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(38, 8)","(38, 7)","(37, 7)","(36, 7)","(35, 7)","(35, 8)","(35, 9)","(35, 10)","(35, 11)","(35, 12)","(35, 13)","(35, 14)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(19, 15)","(19, 16)","(18, 16)","(17, 16)","(17, 17)","(17, 18)","(16, 18)","(15, 18)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(10, 13)","(10, 12)","(10, 13)","(10, 14)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(9, 18)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(4, 20)","(4, 21)","(4, 22)","(4, 23)","(3, 23)","(3, 24)","(2, 24)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(37, 9)","(37, 10)","(37, 11)","(36, 11)","(36, 12)","(36, 13)","(35, 13)","(35, 14)","(34, 14)","(34, 13)","(34, 12)","(34, 11)","(34, 10)","(34, 9)","(33, 9)","(32, 9)","(31, 9)","(30, 9)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(27, 15)","(27, 16)","(26, 16)","(26, 15)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(23, 12)","(23, 11)","(23, 10)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(19, 8)","(18, 8)","(17, 8)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(14, 10)","(13, 10)","(12, 10)","(11, 10)","(11, 11)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(8, 16)","(8, 17)","(8, 18)","(7, 18)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(4, 20)","(3, 20)","(2, 20)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(38, 8)","(38, 7)","(38, 6)","(38, 5)","(38, 4)","(37, 4)","(36, 4)","(35, 4)","(35, 3)","(35, 2)","(35, 1)","(35, 0)","(34, 0)","(33, 0)","(32, 0)","(32, 1)","(32, 2)","(32, 3)","(32, 4)","(31, 4)","(30, 4)","(30, 3)","(30, 2)","(30, 1)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(27, 5)","(26, 5)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(22, 11)","(22, 12)","(22, 13)","(21, 13)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(17, 15)","(17, 16)","(17, 17)","(17, 18)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(13, 21)","(13, 22)","(13, 23)","(12, 23)","(11, 23)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(38, 8)","(38, 7)","(38, 6)","(38, 5)","(38, 4)","(38, 3)","(38, 2)","(38, 1)","(38, 0)","(37, 0)","(36, 0)","(36, 1)","(36, 2)","(36, 3)","(36, 4)","(36, 5)","(36, 6)","(36, 7)","(36, 8)","(36, 9)","(36, 10)","(36, 11)","(36, 12)","(36, 13)","(36, 14)","(36, 15)","(36, 16)","(36, 17)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(36, 22)","(36, 23)","(35, 23)","(34, 23)","(33, 23)","(32, 23)","(31, 23)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(37, 9)","(36, 9)","(36, 8)","(36, 7)","(36, 6)","(36, 5)","(35, 5)","(35, 4)","(35, 3)","(34, 3)","(34, 2)","(34, 1)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(27, 5)","(27, 6)","(27, 7)","(27, 8)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(22, 11)","(22, 12)","(22, 13)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(15, 15)","(15, 16)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(12, 20)","(12, 21)","(12, 22)","(12, 23)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(5, 25)","(5, 26)","(5, 27)","(5, 28)","(4, 28)","(3, 28)","(3, 27)","(2, 27)","(2, 26)","(2, 25)","(1, 25)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(38, 10)","(38, 11)","(37, 11)","(36, 11)","(36, 10)","(36, 9)","(36, 8)","(36, 7)","(36, 6)","(36, 5)","(35, 5)","(35, 6)","(35, 7)","(35, 8)","(35, 9)","(35, 10)","(35, 11)","(35, 12)","(35, 13)","(35, 14)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(34, 30)","(34, 31)","(33, 31)","(33, 30)","(32, 30)","(31, 30)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(29, 27)","(29, 26)","(28, 26)","(27, 26)","(27, 25)","(26, 25)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(37, 9)","(37, 10)","(36, 10)","(36, 11)","(36, 12)","(35, 12)","(34, 12)","(33, 12)","(32, 12)","(32, 11)","(32, 10)","(32, 9)","(31, 9)","(31, 10)","(31, 11)","(31, 12)","(31, 13)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(24, 11)","(24, 10)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(14, 10)","(14, 11)","(14, 12)","(14, 13)","(13, 13)","(12, 13)","(11, 13)","(10, 13)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(5, 8)","(5, 9)","(4, 9)","(4, 10)","(4, 11)","(3, 11)","(2, 11)","(2, 12)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(38, 8)","(38, 7)","(37, 7)","(36, 7)","(35, 7)","(35, 6)","(35, 5)","(35, 4)","(35, 3)","(35, 2)","(35, 1)","(35, 0)","(34, 0)","(33, 0)","(33, 1)","(33, 2)","(33, 3)","(33, 4)","(32, 4)","(31, 4)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(22, 11)","(22, 12)","(22, 13)","(21, 13)","(20, 13)","(20, 12)","(20, 11)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(14, 10)","(14, 11)","(14, 12)","(14, 13)","(13, 13)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(8, 16)","(7, 16)","(6, 16)","(5, 16)","(4, 16)","(4, 17)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(1, 19)","(1, 20)","(1, 21)","(1, 22)","(1, 23)","(1, 24)","(0, 24)",,,,,
3,9,24,"(39, 9)","(38, 9)","(37, 9)","(36, 9)","(36, 10)","(36, 11)","(36, 12)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(33, 14)","(32, 14)","(32, 13)","(31, 13)","(30, 13)","(30, 12)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(27, 8)","(27, 7)","(27, 6)","(27, 5)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(23, 3)","(23, 2)","(23, 1)","(23, 2)","(23, 3)","(23, 4)","(22, 4)","(21, 4)","(20, 4)","(19, 4)","(18, 4)","(17, 4)","(16, 4)","(16, 5)","(15, 5)","(15, 6)","(15, 7)","(15, 8)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(10, 10)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(9, 14)","(9, 15)","(8, 15)","(8, 16)","(7, 16)","(6, 16)","(5, 16)","(4, 16)","(3, 16)","(3, 17)","(3, 18)","(3, 19)","(3, 20)","(3, 21)","(3, 22)","(2, 22)","(1, 22)","(1, 23)","(1, 24)","(0, 24)",,,,,
